+--------------+-----------------------------------------------------+------------------------+------------+------------+------------+
|     Verb     |                       context                       |         synset         | Polarity + | Polarity - | Polarity = |
|    pensar    |                      que el ...                     |       think.v.01       |    0.0     |    0.0     |    1.0     |
|    deber     |           ... el sitio debería ser más ...          |        owe.v.01        |    0.0     |    0.0     |    1.0     |
|     ser      |        ... sitio debería ser más climatizado        |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  climatizar  |               ... ser más climatizado               |  air-conditioned.s.01  |    0.0     |    0.0     |    1.0     |
|     ser      |     ... la remodelación es insoportable hace ...    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    hacer     |         ... es insoportable hace que la ...         |       make.v.03        |    0.0     |    0.0     |    1.0     |
|    perder    |            ... la terapia pierda sentido            |       lose.v.01        |    0.0     |    0.5     |    0.5     |
|   realizar   |    ... trabajadores que realizan la remodelación    |       make.v.03        |    0.0     |    0.0     |    1.0     |
|    estar     |             ... y todo estuvo excelente             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    estar     |        bueno que estén en remodelaciones ...        |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     ser      |                   personas muy ...                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    sentir    |             ... , me sentí muy bien ...             |     perceive.v.01      |   0.375    |    0.0     |   0.625    |
|    seguir    |             ... muchas gracias sigan así            |       stay.v.01        |    0.0     |    0.0     |    1.0     |
|    gustar    |                  gustó mucho su ...                 |      please.v.01       |   0.625    |    0.0     |   0.375    |
|     ser      |           ... su atención son muy amables           |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    sentir    |                 sentí súper bien ...                |     perceive.v.01      |   0.375    |    0.0     |   0.625    |
|      ir      |    ... muchísimas gracias fue una experiencia ...   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   mejorar    |                    la presión ...                   |      better.v.02       |   0.375    |    0.0     |   0.625    |
|   reducir    |              ... con movilidad reducida             |      consume.v.05      |    0.0     |    0.0     |    1.0     |
|    volver    |                       volveré                       |       make.v.02        |    0.0     |    0.0     |    1.0     |
|    querer    |        profesionales muy queridas , excelente       |       want.v.02        |   0.125    |   0.125    |    0.75    |
|    volver    |                       volveré                       |       make.v.02        |    0.0     |    0.0     |    1.0     |
|    volver    |                  máximo volveremos                  |       make.v.02        |    0.0     |    0.0     |    1.0     |
|     ser      |    ... única recomendación sería proveer las ...    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   proveer    |    ... recomendación sería proveer las batas ...    |      supply.v.01       |    0.0     |    0.0     |    1.0     |
|  felicitar   |                                                     |   congratulate.v.02    |    0.0     |    0.0     |    1.0     |
|    hacer     |                hizo un excelente ...                |       make.v.03        |    0.0     |    0.0     |    1.0     |
|    ayudar    |         agua caliente ayudaría a mejorar ...        |       help.v.01        |    0.0     |    0.0     |    1.0     |
|   mejorar    |          ... ayudaría a mejorar la terapia          |      better.v.02       |   0.375    |    0.0     |   0.625    |
|     ser      |                     muy amables                     |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    seguir    |                  sigan así con ...                  |       stay.v.01        |    0.0     |    0.0     |    1.0     |
|     vale     |          ... muy agradable vale la pena ...         |       cost.v.01        |    0.0     |    0.0     |    1.0     |
|   emplear    |                   otras formas ...                  |        use.v.01        |    0.0     |    0.0     |    1.0     |
|   atender    |          ... que me atendió dahiana fue ...         |       serve.v.10       |    0.0     |    0.0     |    1.0     |
|      ir      |           ... atendió dahiana fue especial          |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     ser      |                   muy difícil ...                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    tener     |          ... difícil de tener un tiempo ...         |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|     ser      |             ... la ducha es muy mala ...            |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    tener     |           ... muy mala tiene muy poca ...           |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    poder     |            ... no se puede retirar el ...           |     displace.v.03      |    0.0     |    0.0     |    1.0     |
|   retirar    |           ... se puede retirar el lodo ...          |      remove.v.01       |    0.0     |    0.0     |    1.0     |
|     ser      |           ... lugar no es muy privado ...           |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   privado    |           ... es muy privado gracias a ...          |      private.a.01      |    0.0     |   0.125    |   0.875    |
|    tener     |                    en cuenta ...                    |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    contar    |             en cuenta aspectos como ...             |       state.v.01       |    0.0     |    0.0     |    1.0     |
|  fortalecer  |          ... cuerpo se fortalece , más ...          |    strengthen.v.01     |    0.0     |    0.0     |    1.0     |
| implementar  |                     de nuevo ...                    |  follow_through.v.02   |    0.0     |    0.0     |    1.0     |
|     sea      |                    ... lo que sea                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    tener     |                   más personal ...                  |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|     ser      |     ... terapéutico para ser atendido mínimo ...    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   atender    |       ... para ser atendido mínimo minutos ...      |       serve.v.10       |    0.0     |    0.0     |    1.0     |
|   requerir   |       ... minutos al requerir el procedimiento      |    necessitate.v.01    |    0.25    |    0.25    |    0.5     |
|   utilizar   |                 los instrumentos ...                |        use.v.01        |    0.0     |    0.0     |    1.0     |
|    hacer     |        ... las terapeutas hacen una gran ...        |       make.v.03        |    0.0     |    0.0     |    1.0     |
|     era      |                     era muy bien                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  continuar   |                  prestando tan ...                  |     continue.v.03      |    0.0     |    0.0     |    1.0     |
|   prestar    |             prestando tan excelente ...             |       give.v.10        |    0.0     |    0.0     |    1.0     |
|   encantar   |           perfecto me encantó la niña ...           |      please.v.01       |   0.625    |    0.0     |   0.375    |
|   trabajar   |                  ... que me trabajó                 |     function.v.01      |    0.0     |    0.0     |    1.0     |
|   aplicar    |                        aplica                       |        use.v.01        |    0.0     |    0.0     |    1.0     |
|    deber     |                   colocar agua ...                  |        owe.v.01        |    0.0     |    0.0     |    1.0     |
|   colocar    |              colocar agua caliente ...              |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    deber     |               colocar calefacción ...               |        owe.v.01        |    0.0     |    0.0     |    1.0     |
|   colocar    |              colocar calefacción en ...             |        put.v.01        |    0.0     |    0.0     |    1.0     |
|   realizar   |      ... espacio para realizar terapias con ...     |       make.v.03        |    0.0     |    0.0     |    1.0     |
|    poner     |                       elevador                      |        put.v.01        |    0.0     |    0.0     |    1.0     |
|   encantar   |               encantó el servicio ...               |      please.v.01       |   0.625    |    0.0     |   0.375    |
|   instalar   |                    agua caliente                    |      install.v.01      |    0.0     |    0.0     |    1.0     |
|    ubicar    |                    tapetes o ...                    |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    evitar    |         ... , para evitar posible caídas ...        |      prevent.v.01      |    0.25    |    0.0     |    0.75    |
|   escucha    |           ... que se escucha la música ...          |      listen.v.01       |    0.0     |    0.0     |    1.0     |
|    salir     |            ... tapetes al salir de la ...           |        die.v.01        |    0.0     |    0.0     |    1.0     |
|   ofertar    |                   terapias en ...                   |       offer.v.02       |    0.0     |    0.0     |    1.0     |
|   ofrecer    |                   más variedad ...                  |       offer.v.02       |    0.0     |    0.0     |    1.0     |
|   escuchar   |            ... para no escuchar a las ...           |      listen.v.01       |    0.0     |    0.0     |    1.0     |
|    poder     |                     ser más ...                     |     displace.v.03      |    0.0     |    0.0     |    1.0     |
|     ser      |                ser más agradable ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    poder     |         ... si se puede percibir olores ...         |     displace.v.03      |    0.0     |    0.0     |    1.0     |
|   percibir   |     ... se puede percibir olores relajantes ...     |     perceive.v.01      |   0.375    |    0.0     |   0.625    |
|    tener     |              baños tienen mal olor ...              |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    deber     |         ... olor , deberían tener donde ...         |        owe.v.01        |    0.0     |    0.0     |    1.0     |
|    tener     |         ... , deberían tener donde poner ...        |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    poner     |          ... tener donde poner la ropa ...          |        put.v.01        |    0.0     |    0.0     |    1.0     |
|     oler     |                 baños huelen muy mal                |       smell.v.02       |    0.0     |    0.0     |    1.0     |
|   regresar   |                                                     |      return.v.01       |    0.0     |    0.0     |    1.0     |
|  magnificar  |            magnifica alternativa para ...           |       laud.v.01        |    0.75    |    0.0     |    0.25    |
|  finalizar   |      ... alternativa para finalizar un gran ...     |        end.v.02        |    0.0     |    0.0     |    1.0     |
|    vengar    |                que vengo me hago ...                |      revenge.v.01      |    0.0     |    0.5     |    0.5     |
|    hacer     |           ... vengo me hago un masaje ...           |       make.v.03        |    0.0     |    0.0     |    1.0     |
|  descansar   |              ... momento para descansar             |       stay.v.01        |    0.0     |    0.0     |    1.0     |
|   escuchar   |                  escuche más la ...                 |      listen.v.01       |    0.0     |    0.0     |    1.0     |
|    dejar     |                    cargar los ...                   |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    cargar    |               cargar los celulares ...              |     transport.v.02     |    0.0     |    0.0     |    1.0     |
|   mejorar    |                  la temperatura ...                 |      better.v.02       |   0.375    |    0.0     |   0.625    |
|    gustar    |                 gustaría un poco ...                |      please.v.01       |   0.625    |    0.0     |   0.375    |
|    gustar    |                 gusta vuelvo mañana                 |      please.v.01       |   0.625    |    0.0     |   0.375    |
|    volver    |                 gusta vuelvo mañana                 |       make.v.02        |    0.0     |    0.0     |    1.0     |
|    poner     |            ... donde se pone la cera ...            |        put.v.01        |    0.0     |    0.0     |    1.0     |
|     ser      |            ... la camilla es muy dura ...           |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    poner     |            ... dura , poner algo más ...            |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    tener     |                 más aromaterapia ...                |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    haber     |         ... excelente no hay recomendaciones        |        be.v.03         |    0.0     |    0.0     |    1.0     |
|    pedir     |              lo que pedí el masaje ...              |    necessitate.v.01    |    0.25    |    0.25    |    0.5     |
|   parecer    |            ... relajación me pareció bien           |       look.v.02        |    0.0     |    0.0     |    1.0     |
|  aromatizar  |                     el lugar ...                    |      perfume.v.01      |    0.0     |    0.0     |    1.0     |
|    hacer     |          ... donde se hacen los masajes ...         |       make.v.03        |    0.0     |    0.0     |    1.0     |
|    tener     |           ... los baños tienen muy mal ...          |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    situar    |          música situada diferente para ...          |        put.v.01        |    0.0     |    0.0     |    1.0     |
|   escuchar   |              ... no se escuche el ruido             |      listen.v.01       |    0.0     |    0.0     |    1.0     |
|     ser      |            terapeutas son muy amables ...           |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   procurar   |                     que los ...                     |      search.v.01       |    0.0     |    0.0     |    1.0     |
|    hacer     |          ... externos y hacer aromaterapia          |       make.v.03        |    0.0     |    0.0     |    1.0     |
|   relajar    |                  atenta y relajada                  |       relax.v.04       |    0.0     |   0.625    |   0.375    |
|   instalar   |                     el agua ...                     |      install.v.01      |    0.0     |    0.0     |    1.0     |
|    gustar    |                     gusta mucho                     |      please.v.01       |   0.625    |    0.0     |   0.375    |
|    volver    |                     bien volveré                    |       make.v.02        |    0.0     |    0.0     |    1.0     |
|  felicitar   |                  felicito , la ...                  |   congratulate.v.02    |    0.0     |    0.0     |    1.0     |
|      ir      |          ... la atención fue muy buena ...          |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     ser      |            ... el lugar es muy cómodo ...           |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    estar     |               estuvo increíble el ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    poder     |             ... masaje no pudo ser mejor            |     displace.v.03      |    0.0     |    0.0     |    1.0     |
|     ser      |                ... no pudo ser mejor                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      ir      |                   fue buena y ...                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    deber     |     ... baños servicios deben mejorar rentar ...    |        owe.v.01        |    0.0     |    0.0     |    1.0     |
|   mejorar    |    ... servicios deben mejorar rentar toallas ...   |      better.v.02       |   0.375    |    0.0     |   0.625    |
|    rentar    |        ... deben mejorar rentar toallas o ...       |        net.v.02        |    0.0     |    0.0     |    1.0     |
|   incluir    |           ... toallas o incluir con el ...          |      include.v.01      |    0.0     |    0.0     |    1.0     |
|    durar     |                       dure más                      |       last.v.01        |    0.0     |    0.0     |    1.0     |
|  felicitar   |                   al masajista ...                  |   congratulate.v.02    |    0.0     |    0.0     |    1.0     |
|     ser      |                   es cómodo el ...                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  atravesar   |          ... que esta atravesado en el ...          |      transit.v.01      |    0.0     |    0.0     |    1.0     |
|     ser      |         ... una sugerencia es cubrir los ...        |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    cubrir    |        ... sugerencia es cubrir los ojos ...        |       cover.v.01       |    0.0     |    0.0     |    1.0     |
|    crear     |                     que debe ...                    |       find.v.05        |   0.125    |    0.0     |   0.875    |
|     debe     |                que debe tener más ...               |        owe.v.01        |    0.0     |    0.0     |    1.0     |
|    tener     |             que debe tener más personas             |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    sentar    |           ... ducha se siente muy mal ...           |     perceive.v.01      |   0.375    |    0.0     |   0.625    |
|    poner     |            ... donde se pone el rosto ...           |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    tener     |          ... el rosto tiene pliegues y ...          |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    causar    |          ... pliegues y causan dolor en ...         |       make.v.03        |    0.0     |    0.0     |    1.0     |
|     ser      |                  niñas son divinas                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    deber     |          camillas deberían estar frente ...         |        owe.v.01        |    0.0     |    0.0     |    1.0     |
|    estar     |         camillas deberían estar frente a ...        |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    estar     |       señora adriana estaba muy pendiente ...       |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    pensar    |           ... mi y pienso regresar al ...           |       think.v.01       |    0.0     |    0.0     |    1.0     |
|   regresar   |           ... y pienso regresar al spa ...          |      return.v.01       |    0.0     |    0.0     |    1.0     |
|      ir      |             ... al spa fue espectacular             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  preguntar   |                    al usuario ...                   |    necessitate.v.01    |    0.25    |    0.25    |    0.5     |
|    querer    |                ... que presión quiere               |       want.v.02        |   0.125    |   0.125    |    0.75    |
|    deber     |            camillas deberían tener un ...           |        owe.v.01        |    0.0     |    0.0     |    1.0     |
|    tener     |       camillas deberían tener un orificio ...       |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|   reposar    |        ... orificio para reposar la cara ...        |       stay.v.01        |    0.0     |    0.0     |    1.0     |
|    hacer     |            quintero hizo un excelente ...           |       make.v.03        |    0.0     |    0.0     |    1.0     |
|     ser      |                   bueno tener ...                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    tener     |           bueno tener horarios disponibles          |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|   realizar   |      ... profesionalismo al realizar su trabajo     |       make.v.03        |    0.0     |    0.0     |    1.0     |
|  agradecer   |                agradecida por el ...                |    appreciate.v.01     |   0.125    |   0.125    |    0.75    |
|  continuar   |     ... profesional , continúen así gracias ...     |     continue.v.03      |    0.0     |    0.0     |    1.0     |
|  felicitar   |                     la masajista                    |   congratulate.v.02    |    0.0     |    0.0     |    1.0     |
|   ofrecer    |               ... servicios q ofrecen               |       offer.v.02       |    0.0     |    0.0     |    1.0     |
|     dar      |           ... no me dieron reporte de ...           |       give.v.10        |    0.0     |    0.0     |    1.0     |
|    haber     |              ... de que había spa y ...             |        be.v.03         |    0.0     |    0.0     |    1.0     |
|    tocar     |           ... spa y tocó averiguar con ...          |       refer.v.02       |    0.0     |    0.0     |    1.0     |
|  averiguar   |           ... y tocó averiguar con un ...           |       learn.v.02       |    0.0     |    0.0     |    1.0     |
|     ser      |          ... ellas no son atentas para ...          |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   ofrecer    |      ... atentas para ofrecer los servicios ...     |       offer.v.02       |    0.0     |    0.0     |    1.0     |
|     ser      |             ... el personal es excelente            |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    tener     |                tengan más terapeutas                |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|     sea      |              la camilla sea más cómoda              |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    tener     |                   un perchero ...                   |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    poner     |            ... mesa par poner la ropa ...           |        put.v.01        |    0.0     |    0.0     |    1.0     |
| suministrar  |        ... masajes , suministrar a todos ...        |      supply.v.01       |    0.0     |    0.0     |    1.0     |
|   ofrecer    |    ... desechable y ofrecer velas encendidas ...    |       offer.v.02       |    0.0     |    0.0     |    1.0     |
|   encender   |       ... ofrecer velas encendidas en toda ...      |      ignite.v.01       |    0.0     |    0.0     |    1.0     |
|    tener     |         ... , felicidades tiene un lugar ...        |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    crear     |          ... servicios y creo que deben ...         |       find.v.05        |   0.125    |    0.0     |   0.875    |
|    deber     |       ... creo que deben aprovecharlo más ...       |        owe.v.01        |    0.0     |    0.0     |    1.0     |
|   mejorar    |                   camillas se ...                   |      better.v.02       |   0.375    |    0.0     |   0.625    |
|    clava     |            camillas se clava un poco ...            |    concentrate.v.02    |   0.125    |    0.0     |   0.875    |
|    haber     |               hubiera gustado que ...               |        be.v.03         |    0.0     |    0.0     |    1.0     |
|    gustar    |              hubiera gustado que mi ...             |      please.v.01       |   0.625    |    0.0     |   0.375    |
|  suspender   |      ... terapeuta no suspendiera el masaje ...     |     interrupt.v.01     |    0.0     |    0.0     |    1.0     |
|   atender    |        ... masaje para atender al cliente ...       |       serve.v.10       |    0.0     |    0.0     |    1.0     |
|  necesitar   |      ... cliente que necesito información , ...     |    necessitate.v.01    |    0.25    |    0.25    |    0.5     |
|  interferir  |         ... pues esto interfiere con el ...         |     interfere.v.01     |    0.0     |    0.0     |    1.0     |
|   atender    |              atendieron súper bien ...              |       serve.v.10       |    0.0     |    0.0     |    1.0     |
|    volver    |            ... bien , vuelvo en diciembre           |       make.v.02        |    0.0     |    0.0     |    1.0     |
|    poner     |                   camilla con ...                   |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    hacer     |                     un poco ...                     |       make.v.03        |    0.0     |    0.0     |    1.0     |
|   retrasar   |         temperatura se retraso porque un ...        |     postpone.v.01      |    0.0     |    0.0     |    1.0     |
|   cumplir    |          ... huésped np cumplió el horario          |   carry_through.v.01   |    0.0     |    0.0     |    1.0     |
|    seguir    |                  sigan así muy ...                  |       stay.v.01        |    0.0     |    0.0     |    1.0     |
|    sentir    |                  sentí muy bien ...                 |     perceive.v.01      |   0.375    |    0.0     |   0.625    |
|   atender    |           ... muy bien atendida sigan así           |       serve.v.10       |    0.0     |    0.0     |    1.0     |
|    seguir    |             ... bien atendida sigan así             |       stay.v.01        |    0.0     |    0.0     |    1.0     |
| promocionar  |                     más los ...                     |     advertise.v.02     |    0.0     |    0.0     |    1.0     |
|   privado    |       ... por canal privado los servicios ...       |      private.a.01      |    0.0     |   0.125    |   0.875    |
| promocionar  |                      más el ...                     |     advertise.v.02     |    0.0     |    0.0     |    1.0     |
|   privado    |                 ... en canal privado                |      private.a.01      |    0.0     |   0.125    |   0.875    |
|    decir     |                    cuando va ...                    |       talk.v.02        |    0.0     |    0.0     |    1.0     |
|      ir      |                cuando va hacer de ...               |      travel.v.01       |    0.0     |    0.0     |    1.0     |
|    hacer     |             cuando va hacer de posición             |       make.v.03        |    0.0     |    0.0     |    1.0     |
| especializar |     ... del personal especializado que sigan ...    |      skilled.a.01      |   0.625    |    0.0     |   0.375    |
|    seguir    |           ... especializado que sigan así           |       stay.v.01        |    0.0     |    0.0     |    1.0     |
|    elevar    |                 elevado el costo ...                |     increase.v.02      |    0.0     |    0.0     |    1.0     |
|   cambiar    |                     muy postizos                    |      change.v.01       |    0.0     |    0.0     |    1.0     |
|   realizar   |     posibilidad de realizar reservaciones o ...     |       make.v.03        |    0.0     |    0.0     |    1.0     |
|    poner     |          ... hotel , poner más volantes ...         |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    llegar    |           ... , cuando llegamos no habían           |      arrive.v.01       |    0.0     |    0.0     |    1.0     |
|    haber     |                ... llegamos no habían               |        be.v.03         |    0.0     |    0.0     |    1.0     |
|   mantener   |               se mantengan así muy ...              |       keep.v.01        |    0.0     |    0.0     |    1.0     |
| recomendado  |                                                     |     recommend.v.01     |    0.0     |   0.125    |   0.875    |
|    poder     |     ... los bañistas puedan estar pendiente ...     |     displace.v.03      |    0.0     |    0.0     |    1.0     |
|    estar     |      ... bañistas puedan estar pendiente de ...     |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    poner     |            ... pereira , poner , más ...            |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    durar     |                 dure más tiempo ...                 |       last.v.01        |    0.0     |    0.0     |    1.0     |
|    poner     |                se pone la cabeza ...                |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    poner     |       ... la cabeza poner algo desechable ...       |        put.v.01        |    0.0     |    0.0     |    1.0     |
|    poner     |           ... mundo no ponga la cabeza ...          |        put.v.01        |    0.0     |    0.0     |    1.0     |
|   encantar   |                encantaría que le ...                |      please.v.01       |   0.625    |    0.0     |   0.375    |
|    bajar     |           ... que le bajaran el precio ...          |      descend.v.01      |    0.0     |    0.0     |    1.0     |
|    estar     |         ... resto todo está bien daniela ...        |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  felicitar   |       ... daniela te felicito tienes manos ...      |   congratulate.v.02    |    0.0     |    0.0     |    1.0     |
|    tener     |         ... te felicito tienes manos de ...         |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|   atender    |     ... daniela nos atendió desde recepción ...     |       serve.v.10       |    0.0     |    0.0     |    1.0     |
|     ser      |          ... recepción y es muy atenta ...          |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  complacer   |                      complacida                     |      please.v.01       |   0.625    |    0.0     |   0.375    |
|   calentar   |                     un poco ...                     |       heat.v.01        |    0.0     |    0.0     |    1.0     |
|    abrir     |        ... vestidores camino abierto a la ...       |       open.v.01        |    0.0     |    0.0     |    1.0     |
|      ir      |                     fue muy bien                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    gustar    |                 gustó mucho por ...                 |      please.v.01       |   0.625    |    0.0     |   0.375    |
|    gustar    |               gustó la experiencia ...              |      please.v.01       |   0.625    |    0.0     |   0.375    |
|  felicitar   |                     por tan ...                     |   congratulate.v.02    |    0.0     |    0.0     |    1.0     |
|    estar     |      ... aunque todo estuvo maravilloso un ...      |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   distraer   |          ... para no distraer al masajista          |      perturb.v.01      |    0.0     |   0.125    |   0.875    |
|   escuchar   |             no se escuche la música ...             |      listen.v.01       |    0.0     |    0.0     |    1.0     |
| interrumpir  |      ... afuera porque interrumpe la relajación     |     interrupt.v.01     |    0.0     |    0.0     |    1.0     |
|    hacer     |              ... el spa hace mucho frío             |       make.v.03        |    0.0     |    0.0     |    1.0     |
|   utilizar   |             que utilizo la terapeuta ...            |        use.v.01        |    0.0     |    0.0     |    1.0     |
| complementar |                piedras volcánicas ...               |     complete.v.02      |   0.125    |    0.0     |   0.875    |
|  felicitar   |       ... volcánicas y felicito a daniela ...       |   congratulate.v.02    |    0.0     |    0.0     |    1.0     |
|  felicitar   |                    al equipo ...                    |   congratulate.v.02    |    0.0     |    0.0     |    1.0     |
|    evitar    |                     el ruido ...                    |      prevent.v.01      |    0.25    |    0.0     |    0.75    |
|    evitar    |                     el ruido ...                    |      prevent.v.01      |    0.25    |    0.0     |    0.75    |
|    tener     |       excelente masajista tiene unas manos ...      |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|   bendecir   |           ... unas manos benditas por dios          |       bless.v.01       |    0.0     |    0.0     |    1.0     |
|    poder     |                podría mejorar la ...                |     displace.v.03      |    0.0     |    0.0     |    1.0     |
|   mejorar    |         podría mejorar la insonorización ...        |      better.v.02       |   0.375    |    0.0     |   0.625    |
|     ser      |        ... del spa es agradable escuchar ...        |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   escuchar   |        ... es agradable escuchar el agua ...        |      listen.v.01       |    0.0     |    0.0     |    1.0     |
|   distraer   |         ... en ocasiones distrae un poco ...        |      perturb.v.01      |    0.0     |   0.125    |   0.875    |
|    tener     |         ... cada cabina tenga algo para ...         |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|   guardar    |        ... algo para guardar los objetos ...        |       keep.v.18        |    0.0     |    0.0     |    1.0     |
|    estar     |           ... manta para estar más cómodo           |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    tener     |       ... posibilidad de tener una camilla ...      |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|  felicitar   |         ... atención y felicitare por el ...        |   congratulate.v.02    |    0.0     |    0.0     |    1.0     |
|  desempeñar  |              ... el trabajo desempeñado             |       wield.v.01       |    0.0     |    0.0     |    1.0     |
|  felicitar   |                    a daniela ...                    |   congratulate.v.02    |    0.0     |    0.0     |    1.0     |
|   prestar    |       ... atención , prestan un excelente ...       |       give.v.10        |    0.0     |    0.0     |    1.0     |
|    hacer     |             ... lo cual hace ver si ...             |       make.v.03        |    0.0     |    0.0     |    1.0     |
|     ver      |       ... cual hace ver si profesionalismo ...      |     perceive.v.01      |   0.375    |    0.0     |   0.625    |
|   atender    |         ... hora de atender los clientes ...        |       serve.v.10       |    0.0     |    0.0     |    1.0     |
